time (s)	det(V)
2167.801759	0.002026	
2167.803266	-0.006695	
2167.804999	-0.002731	
2167.806482	0.026466	
2167.808267	0.018446	
2167.809759	0.003811	
2167.811553	-0.006119	
2167.813028	0.014514	
2167.814815	-0.001889	
2167.816293	0.017056	
2167.818030	-0.000459	
2167.819533	-0.018035	
2167.821248	-0.033105	
2167.822776	-0.005696	
2167.824491	-0.005301	
2167.826038	0.003803	
2167.827718	-0.016967	
2167.829276	-0.003340	
2167.830957	-0.021495	
2167.832521	-0.031360	
2167.834170	-0.021092	
2167.835751	-0.004818	
2167.837388	-0.037451	
2167.838998	0.005676	
2167.840623	-0.043184	
2167.842233	-0.012431	
2167.843844	-0.013942	
2167.845495	-0.010047	
2167.847096	-0.022442	
2167.848780	0.007779	
2167.850356	-0.003049	
2167.852033	0.013495	
2167.853597	-0.020041	
2167.855281	-0.015779	
2167.856833	-0.034897	
2167.858530	-0.023227	
2167.860084	0.000709	
2167.861806	0.000012	
2167.863328	-0.026893	
2167.865049	0.002272	
2167.866526	0.022478	
2167.868308	-0.031224	
2167.869791	-0.001696	
2167.871554	0.019255	
2167.873040	-0.007360	
2167.874819	-0.001080	
2167.876306	0.019521	
2167.878064	0.031538	
2167.879563	0.092619	
2167.881293	0.084401	
2167.882812	0.069754	
2167.884530	0.032247	
2167.886058	0.043607	
2167.887572	0.053359	
2167.889162	0.104132	
2167.890664	0.059313	
2167.892297	0.099451	
2167.893822	0.106114	
2167.895457	0.103069	
2167.896937	0.112410	
2167.898578	0.086903	
2167.900057	0.156778	
2167.901691	0.135605	
2167.903174	0.109679	
2167.904799	0.087918	
2167.906308	0.122171	
2167.907988	0.150599	
2167.909509	0.151449	
2167.911164	0.158962	
2167.912689	0.181850	
2167.914300	0.136173	
2167.915857	0.210464	
2167.917451	0.215777	
2167.919063	0.205497	
2167.920615	0.192006	
2167.922243	0.183417	
2167.923752	0.227137	
2167.925438	0.251456	
2167.927016	0.234758	
2167.928701	0.282623	
2167.930281	0.254835	
2167.931954	0.259404	
2167.933510	0.272230	
2167.935183	0.317081	
2167.936740	0.264689	
2167.938443	0.332719	
2167.939951	0.327051	
2167.941704	0.332481	
2167.943191	0.359636	
2167.944947	0.354516	
2167.946432	0.352381	
2167.948207	0.350178	
2167.949694	0.393845	
2167.951476	0.380447	
2167.952957	0.416879	
2167.954698	0.414317	
2167.956197	0.407726	
2167.957929	0.416121	
2167.959451	0.421572	
2167.961142	0.492998	
2167.962679	0.504451	
2167.964372	0.479451	
2167.965936	0.539400	
2167.967617	0.510642	
2167.969183	0.552170	
2167.970872	0.551832	
2167.972450	0.576622	
2167.974111	0.580477	
2167.975703	0.642577	
2167.977334	0.646606	
2167.978949	0.693814	
2167.980567	0.675497	
2167.982201	0.732425	
2167.983817	0.734568	
2167.985446	0.739576	
2167.987043	0.790671	
2167.988711	0.848650	
2167.990270	0.852538	
2167.991981	0.895061	
2167.993532	0.936568	
2167.995238	0.969556	
2167.996789	0.996163	
2167.998492	1.093351	
2168.000035	1.108972	
2168.001746	1.155496	
2168.003258	1.185648	
2168.005034	1.213817	
2168.006517	1.303395	
2168.008302	1.352194	
2168.009789	1.371764	
2168.011547	1.457692	
2168.013026	1.557606	
2168.014807	1.572826	
2168.016297	1.612029	
2168.018058	1.625681	
2168.019552	1.625733	
2168.021303	1.624952	
2168.022809	1.625854	
2168.024532	1.625757	
2168.026062	1.625850	
2168.027754	1.625846	
2168.029293	1.625943	
2168.031000	1.625733	
2168.032559	1.625923	
2168.034243	1.625971	
2168.035835	1.625931	
2168.037330	1.625842	
2168.038955	1.625923	
2168.040477	1.626076	
2168.042108	1.625862	
2168.043595	1.625943	
2168.045237	1.625983	
2168.046711	1.625947	
2168.048357	1.626112	
2168.049842	1.625987	
2168.051484	1.625967	
2168.052970	1.625995	
2168.054582	1.626076	
2168.056104	1.626084	
2168.057734	1.626035	
2168.059284	1.625947	
2168.060875	1.626096	
2168.062455	1.626124	
2168.064022	1.626100	
2168.065649	1.626047	
2168.067187	1.626007	
2168.068859	1.625923	
2168.070342	1.625923	
2168.072025	1.625995	
2168.073503	1.625931	
2168.075203	1.626040	
2168.076691	1.626027	
2168.078415	1.626076	
2168.079921	1.626056	
2168.081675	1.625991	
2168.083153	1.626128	
2168.084934	1.626007	
2168.086423	1.626023	
2168.088172	1.626007	
2168.089652	1.626144	
2168.091425	1.626056	
2168.092920	1.626072	
2168.094683	1.626048	
2168.096176	1.626036	
2168.097917	1.626088	
2168.099432	1.626047	
2168.101146	1.626116	
2168.102680	1.626015	
2168.104380	1.626148	
2168.105937	1.625955	
2168.107630	1.626237	
2168.109188	1.626056	
2168.110857	1.626108	
2168.112428	1.626064	
2168.114082	1.626088	
2168.115680	1.626096	
2168.117315	1.626213	
2168.118925	1.626068	
2168.120542	1.626209	
2168.122185	1.626015	
2168.123797	1.626100	
2168.125446	1.625991	
2168.127037	1.626080	
2168.128689	1.626100	
2168.130264	1.626052	
2168.131960	1.626116	
2168.133518	1.626068	
2168.135217	1.626076	
2168.136760	1.625931	
2168.138465	1.626128	
2168.139995	1.626197	
2168.141729	1.625943	
2168.143237	1.625979	
2168.145000	1.626040	
2168.146478	1.626096	
2168.148248	1.626047	
2168.149730	1.626080	
2168.151501	1.625886	
2168.152985	1.626040	
2168.154729	1.625947	
2168.156222	1.626048	
2168.157968	1.625983	
2168.159477	1.626011	
2168.161219	1.626128	
2168.162742	1.625995	
2168.164445	1.626035	
2168.165988	1.626027	
2168.167684	1.625959	
2168.169234	1.626015	
2168.170923	1.626281	
2168.172502	1.625927	
2168.174161	1.626060	
2168.175732	1.626023	
2168.177386	1.626213	
2168.178979	1.626027	
2168.180614	1.626112	
2168.182224	1.625975	
2168.183848	1.626112	
2168.185512	1.625971	
2168.187002	1.626003	
2168.188583	1.626019	
2168.190059	1.626011	
2168.191694	1.625911	
2168.193173	1.625935	
2168.194809	1.625967	
2168.196311	1.625883	
2168.197901	1.625991	
2168.199462	1.625931	
2168.201005	1.625899	
2168.202586	1.625729	
2168.204078	1.625741	
2168.205697	1.625790	
2168.207248	1.622583	
2168.208873	1.453366	
2168.210380	1.239977	
2168.212047	1.065048	
2168.213535	0.822623	
2168.215260	0.665370	
2168.216746	0.471326	
2168.218475	0.233651	
2168.219961	0.059317	
2168.221674	-0.164525	
2168.223154	-0.334089	
2168.224931	-0.560605	
2168.226414	-0.700364	
2168.228172	-0.901780	
2168.229652	-1.098237	
2168.231406	-1.262278	
2168.232904	-1.429888	
2168.234645	-1.587851	
2168.236151	-1.626515	
2168.237891	-1.627526	
2168.239415	-1.628094	
2168.241126	-1.627663	
2168.242666	-1.627989	
2168.244359	-1.627977	
2168.245898	-1.628130	
2168.247580	-1.627792	
2168.249154	-1.628042	
2168.250821	-1.627969	
2168.252393	-1.628122	
2168.254062	-1.627965	
2168.255641	-1.628098	
2168.257266	-1.628078	
2168.258872	-1.628207	
2168.260487	-1.628126	
2168.262154	-1.628259	
2168.263734	-1.628110	
2168.265402	-1.627852	
2168.266989	-1.628013	
2168.268656	-1.628255	
2168.270225	-1.628130	
2168.271928	-1.627985	
2168.273470	-1.627961	
2168.275197	-1.627852	
2168.276728	-1.628191	
2168.278429	-1.628175	
2168.279962	-1.628122	
2168.281670	-1.628231	
2168.283162	-1.628207	
2168.284963	-1.628098	
2168.286441	-1.628235	
2168.288227	-1.627997	
2168.289706	-1.628332	
2168.291485	-1.628158	
2168.292965	-1.628255	
2168.294721	-1.628167	
2168.296215	-1.628207	
2168.297966	-1.627953	
2168.299479	-1.628243	
2168.301211	-1.628142	
2168.302737	-1.628404	
2168.304463	-1.628158	
2168.305995	-1.628227	
2168.307696	-1.628303	
2168.309244	-1.628199	
2168.310933	-1.628102	
2168.312509	-1.628320	
2168.314195	-1.628191	
2168.315760	-1.628352	
2168.317425	-1.628082	
2168.319027	-1.628308	
2168.320659	-1.628328	
2168.322256	-1.628170	
2168.323775	-1.628243	
2168.325350	-1.628307	
2168.326822	-1.628247	
2168.328458	-1.628211	
2168.329936	-1.628199	
2168.331552	-1.628279	
2168.333020	-1.628291	
2168.334634	-1.628255	
2168.336134	-1.628170	
2168.337697	-1.628170	
2168.339252	-1.628199	
2168.340751	-1.628227	
2168.342409	-1.628251	
2168.343886	-1.628287	
2168.345501	-1.628251	
2168.346992	-1.628142	
2168.348693	-1.628207	
2168.350170	-1.628255	
2168.351883	-1.628166	
2168.353357	-1.628227	
2168.355054	-1.628191	
2168.356535	-1.628098	
2168.358229	-1.628154	
2168.359719	-1.628203	
2168.361436	-1.628122	
2168.362937	-1.628203	
2168.364594	-1.628050	
2168.366099	-1.628118	
2168.367824	-1.627885	
