time (s)	magX	magY	magZ
3756.283021	320.405609	387.617187	232.981293
3756.286382	318.301575	387.792511	228.656311
3756.289689	317.015778	388.026306	223.863800
3756.293025	315.145538	389.078339	220.590851
3756.296355	313.450623	388.786102	216.324371
3756.299690	311.521912	388.844543	212.992950
3756.303020	309.417877	388.961426	208.784912
3756.306361	307.196960	388.902985	204.459930
3756.309688	305.034485	389.136780	201.011658
3756.313022	302.988892	388.844543	197.271179
3756.316356	300.709534	389.195190	192.653992
3756.319686	298.605499	388.493866	187.744568
3756.323025	296.092346	388.201630	183.945618
3756.326353	294.689667	388.084747	180.088257
3756.329723	292.234955	387.500305	174.477478
3756.333019	289.429565	387.149628	168.925171
3756.336355	286.682648	386.272949	164.366425
3756.339683	284.461731	386.097626	160.275269
3756.343022	281.948578	385.396271	156.008759
3756.346351	279.435425	384.928711	151.391571
3756.349683	276.863831	383.058441	146.423706
3756.353014	274.175354	382.766235	141.163635
3756.356349	271.486847	381.597321	137.247803
3756.359679	268.856812	380.369965	131.987701
3756.363017	266.285217	378.616577	126.435425
3756.366350	263.596741	376.980133	121.175323
3756.369684	260.557556	375.226776	117.142578
3756.374319	254.713043	372.538269	106.797791
3756.377647	251.498535	370.025146	101.245422
3756.380578	248.810059	368.096436	95.985352
3756.383897	245.653992	366.284637	91.601990
3756.387257	242.790192	362.836365	86.634094
3756.390627	239.400360	361.609009	81.607819
3756.393937	236.244293	358.102295	75.587921
3756.397220	233.205139	355.764465	71.204559
3756.400107	229.698425	353.134430	65.652222
3756.403437	226.600815	349.627716	60.976593
3756.406766	221.983643	346.354767	55.774963
3756.410101	219.645828	343.607819	50.222656
3756.413436	215.496216	339.633545	45.780792
3756.416824	211.697266	336.068390	40.696075
3756.419680	208.774994	332.503235	36.488007
3756.423020	205.034485	328.587372	31.169495
3756.426343	202.462891	324.554657	26.902954
3756.429677	198.430161	320.463470	22.636444
3756.433019	194.514328	315.670959	17.727051
3756.436346	191.182938	310.995331	13.168335
3756.439673	187.267105	306.495026	8.843384
3756.443010	184.344833	301.819397	3.933960
3756.446342	180.078323	296.968414	-0.040344
3756.449673	176.337814	291.708374	-3.897705
3756.453009	173.590897	285.980713	-7.813538
3756.456339	169.499710	280.954407	-13.307434
3756.459706	165.408524	275.168304	-15.937500
3756.463004	162.486267	269.966675	-20.028625
3756.466337	158.570435	263.829926	-23.593811
3756.469676	154.946823	257.810059	-26.282349
3756.473002	151.440094	251.088837	-30.081238
3756.476336	148.050262	244.952087	-33.704895
3756.479675	145.069550	238.523071	-36.218018
3756.483009	141.270615	232.678558	-39.081848
3756.486336	137.120987	224.905304	-42.530090
3756.489672	134.023376	218.651672	-44.692566
3756.493000	130.808884	211.521332	-47.205750
3756.496405	127.419052	204.741669	-49.309814
3756.499670	124.438339	197.962006	-51.472229
