time (s)	det(V)
4343.616364	0.019872	
4343.617984	0.024903	
4343.619495	0.026305	
4343.621078	0.046696	
4343.622554	0.068026	
4343.624188	0.017056	
4343.625670	0.083890	
4343.627310	0.063950	
4343.628786	0.058161	
4343.630401	0.032911	
4343.631919	0.034624	
4343.633469	0.002627	
4343.635047	0.001853	
4343.636546	0.039292	
4343.638192	0.061690	
4343.639673	0.040758	
4343.641281	0.029246	
4343.642805	0.061073	
4343.644445	0.040493	
4343.645916	0.021576	
4343.647611	0.093465	
4343.649084	0.033773	
4343.650796	0.001031	
4343.652279	0.001942	
4343.653989	0.051989	
4343.655486	0.065315	
4343.657166	0.011493	
4343.658654	0.082448	
4343.660312	0.028105	
4343.661830	0.027280	
4343.663465	0.034861	
4343.665012	0.058556	
4343.666712	0.017737	
4343.668276	0.041737	
4343.669941	0.028251	
4343.671519	0.069424	
4343.673167	0.022671	
4343.674770	0.046531	
4343.676392	0.035627	
4343.678002	0.020484	
4343.679638	-0.007746	
4343.681261	0.039409	
4343.682876	0.015235	
4343.684564	0.027663	
4343.686139	0.029133	
4343.687814	0.046455	
4343.689389	0.019703	
4343.691069	0.047377	
4343.692622	0.020073	
4343.694279	0.047965	
4343.695828	0.012153	
4343.697551	0.034301	
4343.699076	0.043965	
4343.700792	0.029354	
4343.702281	0.017870	
4343.704054	0.042829	
4343.705536	0.019388	
4343.707297	0.036464	
4343.708786	0.015082	
4343.710589	0.010884	
4343.712070	0.024242	
4343.713824	0.018562	
4343.715319	0.041198	
4343.717043	0.014844	
4343.718548	0.014498	
4343.720270	0.005688	
4343.721792	0.026265	
4343.723493	0.013233	
4343.725037	0.044964	
4343.726742	0.004141	
4343.728296	0.029737	
4343.729967	-0.003299	
4343.731537	0.057951	
4343.733206	-0.000697	
4343.734789	-0.008464	
4343.736435	0.001950	
4343.738045	0.044593	
4343.739654	0.008613	
4343.741272	0.049407	
4343.742888	0.026103	
4343.744522	0.029242	
4343.746133	-0.007714	
4343.747767	-0.005112	
4343.749347	0.007489	
4343.751034	0.038926	
4343.752585	0.029628	
4343.754292	0.040606	
4343.755826	0.029109	
4343.757539	0.036887	
4343.759064	0.058121	
4343.760784	0.030047	
4343.762277	0.031920	
4343.764053	0.033222	
4343.765530	0.058882	
4343.767299	0.048352	
4343.768776	0.008443	
4343.770550	0.048900	
4343.772023	0.062793	
4343.773783	0.054100	
4343.775277	0.084732	
4343.777007	0.054713	
